doc id,subcorpus,seeds,date,annotator,conspiracy,relatedness
C01843,conspiracy,coronavirus,NULL,ANN4,N,C
C0189c,conspiracy,coronavirus,2020-04-05,ANN4,N,C
C018a5,conspiracy,coronavirus,NULL,ANN4,N,C
C018bd,conspiracy,coronavirus,2020-03-26,ANN4,N,B
C018c5,conspiracy,coronavirus,NULL,ANN4,N,C
C018e4,conspiracy,coronavirus,2017-10-20,ANN5,Y,C
C018fb,conspiracy,coronavirus,2017-08-10,ANN5,N,B
C0196c,conspiracy,coronavirus,2020-05-10,ANN5,Y,B
C019b8,conspiracy,coronavirus,2020-05-19,ANN5,Y,N
C01a15,conspiracy,coronavirus,2020-04-09,ANN5,Y,C
C01a18,conspiracy,coronavirus,2020-05-02,ANN5,Y,B
C01a40,conspiracy,coronavirus,NULL,ANN5,Y,B
C01a5a,conspiracy,coronavirus,NULL,ANN5,N,N
C01a79,conspiracy,coronavirus,2020-02-25,ANN5,Y,B
C01ac8,conspiracy,coronavirus,NULL,ANN5,N,N
C01b0d,conspiracy,coronavirus,2020-02-24,ANN5,N,N
C01b13,conspiracy,coronavirus,2020-02-29,ANN5,Y,C
C01b81,conspiracy,coronavirus,NULL,ANN5,N,C
C01b8b,conspiracy,coronavirus,NULL,ANN5,N,C
C01b9c,conspiracy,coronavirus,NULL,ANN5,Y,N
C01be0,conspiracy,coronavirus,2020-05-24,ANN5,Y,C
C01bff,conspiracy,coronavirus,2020-04-02,ANN5,Y,N
C01c10,conspiracy,coronavirus,NULL,ANN5,Y,B
C01c31,conspiracy,coronavirus,2020-04-03,ANN5,Y,N
C01c53,conspiracy,coronavirus,NULL,ANN5,Y,C
C01c74,conspiracy,coronavirus,NULL,ANN5,Y,N
C01c86,conspiracy,coronavirus,2020-05-06,ANN5,Y,B
C01cc1,conspiracy,coronavirus,NULL,ANN5,Y,C
C01cca,conspiracy,coronavirus,NULL,ANN5,Y,C
C01ce1,conspiracy,coronavirus,2019-12-04,ANN5,Y,N
C01ce2,conspiracy,coronavirus,2020-04-19,ANN5,Y,N
C01d0c,conspiracy,coronavirus,2020-03-25,ANN5,Y,N
C01d36,conspiracy,coronavirus,NULL,ANN5,Y,C
C01d42,conspiracy,coronavirus,2020-05-08,ANN5,Y,C
C01d50,conspiracy,coronavirus,2020-05-20,ANN5,N,N
C01d9c,conspiracy,coronavirus,NULL,ANN1,N,C
C01df2,conspiracy,coronavirus,2020-02-06,ANN1,Y,C
C01e85,conspiracy,coronavirus,2020-04-11,ANN1,Y,C
C01e98,conspiracy,coronavirus,2020-04-11,ANN1,N,C
C01e9b,conspiracy,coronavirus,2020-03-11,ANN1,N,C
C01ed0,conspiracy,coronavirus,NULL,ANN1,N,C
C01f6e,conspiracy,coronavirus,NULL,ANN1,N,C
C01f91,conspiracy,coronavirus,2020-05-18,ANN1,N,C
C01fb7,conspiracy,coronavirus,2020-04-01,ANN1,N,N
C01ff0,conspiracy,coronavirus,2020-05-18,ANN1,N,C
C02032,conspiracy,coronavirus,2020-05-15,ANN1,Y,C
C0206f,conspiracy,coronavirus,2020-02-26,ANN1,N,C
C02099,conspiracy,coronavirus,2020-04-27,ANN1,N,C
C020a3,conspiracy,coronavirus,NULL,ANN1,N,C
C0214b,conspiracy,coronavirus,2020-05-18,ANN1,N,C
C0219e,conspiracy,coronavirus,2020-01-23,ANN1,Y,N
C021a9,conspiracy,coronavirus,2020-03-31,ANN1,N,C
C021d5,conspiracy,coronavirus,NULL,ANN1,N,C
C022ba,conspiracy,coronavirus,NULL,ANN1,Y,C
C022d3,conspiracy,coronavirus,NULL,ANN1,N,C
C02304,conspiracy,coronavirus,NULL,ANN1,Y,B
C0231a,conspiracy,coronavirus,2015-09-17,ANN1,Y,N
C02325,conspiracy,coronavirus,2020-05-17,ANN1,N,C
C02346,conspiracy,coronavirus,NULL,ANN1,Y,C
C02350,conspiracy,coronavirus,NULL,ANN1,N,C
C02363,conspiracy,coronavirus,2020-02-06,ANN1,Y,C
C0237e,conspiracy,coronavirus,2020-02-14,ANN1,N,C
C023a8,conspiracy,coronavirus,2020-03-15,ANN1,N,C
C023ec,conspiracy,coronavirus,2020-04-05,ANN1,N,N
C02446,conspiracy,coronavirus,2020-04-30,ANN1,Y,C
C02455,conspiracy,coronavirus,NULL,ANN1,N,C
C0247b,conspiracy,coronavirus,2020-02-13,ANN1,N,C
C024a7,conspiracy,coronavirus,NULL,ANN1,N,C
C024b2,conspiracy,coronavirus,2020-01-30,ANN1,N,C
C024f2,conspiracy,coronavirus,2020-03-10,ANN1,N,C
C02527,conspiracy,coronavirus,NULL,ANN1,N,C
C02531,conspiracy,coronavirus,NULL,ANN1,Y,C
C0253a,conspiracy,coronavirus,2020-03-19,ANN1,N,C
C02585,conspiracy,coronavirus,NULL,ANN1,Y,C
C02592,conspiracy,coronavirus,2020-04-28,ANN1,N,C
C025ce,conspiracy,coronavirus,NULL,ANN1,Y,B
C02615,conspiracy,coronavirus,NULL,ANN1,N,B
C0263d,conspiracy,coronavirus,2020-05-18,ANN1,N,N
C02667,conspiracy,coronavirus,2020-03-19,ANN1,N,C
C026e1,conspiracy,coronavirus,2020-05-15,ANN1,N,C
C026ec,conspiracy,coronavirus,2020-03-11,ANN1,Y,C
C026f5,conspiracy,coronavirus,2017-08-14,ANN1,N,N
C0270d,conspiracy,coronavirus,2020-03-09,ANN1,Y,C
C027f0,conspiracy,coronavirus,2020-05-08,ANN1,N,C
C02845,conspiracy,coronavirus,2020-04-30,ANN1,Y,C
C0284b,conspiracy,coronavirus,2020-02-27,ANN1,Y,C
C0289a,conspiracy,coronavirus,NULL,ANN1,Y,C
C028b8,conspiracy,coronavirus,2020-04-12,ANN1,N,B
C028e3,conspiracy,coronavirus,2020-04-15,ANN1,N,B
C02980,conspiracy,coronavirus,NULL,ANN1,N,C
C029a8,conspiracy,coronavirus,2020-04-23,ANN1,N,B
C02a8f,conspiracy,coronavirus,2020-05-19,ANN1,N,B
C02bb2,conspiracy,coronavirus,2020-05-23,ANN1,Y,C
C02bba,conspiracy,coronavirus,2020-05-05,ANN1,N,C
C02be8,conspiracy,coronavirus,2020-04-07,ANN1,N,C
C02c52,conspiracy,coronavirus,2020-05-20,ANN1,N,C
C02c88,conspiracy,coronavirus,2020-05-18,ANN1,N,C
C02ce1,conspiracy,coronavirus,2020-03-09,ANN1,N,C
C02d16,conspiracy,coronavirus,NULL,ANN1,N,N
C02da5,conspiracy,coronavirus,NULL,ANN1,N,C
C02da8,conspiracy,coronavirus,2020-03-24,ANN1,N,C
C02dab,conspiracy,coronavirus,2020-04-05,ANN1,Y,C
C02dae,conspiracy,coronavirus,2020-05-21,ANN1,N,C
C02de2,conspiracy,coronavirus,2020-04-03,ANN1,N,C
C02dea,conspiracy,coronavirus,2020-04-30,ANN1,Y,C
C02e49,conspiracy,coronavirus,NULL,ANN1,Y,C
C02e5a,conspiracy,coronavirus,NULL,ANN1,N,C
C02f5c,conspiracy,coronavirus,2019-12-03,ANN1,N,N
C02fb0,conspiracy,coronavirus,NULL,ANN1,N,N
C02fec,conspiracy,coronavirus,2020-05-18,ANN1,N,C
C02ff9,conspiracy,coronavirus,2020-02-18,ANN1,N,N
C02ffb,conspiracy,coronavirus,2020-03-17,ANN1,N,B
C0300c,conspiracy,coronavirus,2020-05-15,ANN1,N,C
C0301c,conspiracy,coronavirus,2020-02-24,ANN1,N,C
C03032,conspiracy,coronavirus,NULL,ANN1,N,C
C030cc,conspiracy,coronavirus,2020-04-12,ANN1,N,C
C030d6,conspiracy,coronavirus,2020-05-11,ANN2,Y,C
C030ec,conspiracy,coronavirus,2020-04-23,ANN2,N,C
C030f2,conspiracy,coronavirus,2020-04-05,ANN2,Y,C
C03148,conspiracy,coronavirus,2020-02-25,ANN2,N,C
C03167,conspiracy,coronavirus,NULL,ANN2,N,B
C031c3,conspiracy,coronavirus,2020-05-08,ANN2,Y,C
C031df,conspiracy,coronavirus,2020-03-10,ANN2,N,C
C031fa,conspiracy,coronavirus,2020-03-27,ANN2,Y,C
C031fc,conspiracy,coronavirus,2020-03-18,ANN2,N,C
C0329d,conspiracy,coronavirus,NULL,ANN2,N,N
C032bc,conspiracy,coronavirus,2020-03-17,ANN2,N,C
C032c4,conspiracy,coronavirus,2020-05-20,ANN2,Y,C
C0332f,conspiracy,coronavirus,2020-03-13,ANN2,Y,C
C03365,conspiracy,coronavirus,2020-05-20,ANN2,N,C
C03399,conspiracy,coronavirus,2016-11-20,ANN2,N,N
C033d4,conspiracy,coronavirus,NULL,ANN2,N,B
C03479,conspiracy,coronavirus,2020-03-17,ANN2,Y,C
C0347c,conspiracy,coronavirus,2020-04-10,ANN2,Y,C
C03480,conspiracy,coronavirus,2020-03-26,ANN2,N,B
C03493,conspiracy,coronavirus,NULL,ANN2,N,C
C034be,conspiracy,coronavirus,NULL,ANN2,Y,C
C0359a,conspiracy,coronavirus,NULL,ANN2,N,C
C035ab,conspiracy,coronavirus,2020-02-23,ANN2,Y,C
C03612,conspiracy,coronavirus,2020-04-22,ANN2,Y,C
C03614,conspiracy,coronavirus,NULL,ANN2,Y,B
C03624,conspiracy,coronavirus,2020-03-14,ANN2,N,C
C03659,conspiracy,coronavirus,2020-03-04,ANN2,N,C
C03694,conspiracy,coronavirus,2020-04-15,ANN2,Y,C
C036ae,conspiracy,coronavirus,2020-05-14,ANN2,Y,C
C037b1,conspiracy,coronavirus,2020-01-27,ANN2,Y,C
C037c8,conspiracy,coronavirus,2020-05-13,ANN2,N,C
C037d4,conspiracy,coronavirus,NULL,ANN2,Y,C
C037d6,conspiracy,coronavirus,2020-04-07,ANN2,Y,C
C037f1,conspiracy,coronavirus,2020-04-28,ANN2,N,B
C03809,conspiracy,coronavirus,2020-01-28,ANN2,N,C
C03860,conspiracy,coronavirus,2020-02-27,ANN2,Y,C
C0388b,conspiracy,coronavirus,2020-04-09,ANN2,Y,C
C038b4,conspiracy,coronavirus,NULL,ANN2,N,C
C03913,conspiracy,coronavirus,2020-03-24,ANN2,Y,C
C03914,conspiracy,coronavirus,2020-05-12,ANN2,N,C
C03989,conspiracy,coronavirus,NULL,ANN2,Y,C
C039b6,conspiracy,coronavirus,NULL,ANN2,N,C
C03a84,conspiracy,coronavirus,2020-04-14,ANN2,N,C
C03aaf,conspiracy,coronavirus,2020-04-07,ANN2,N,B
C03ab4,conspiracy,coronavirus,2020-05-14,ANN2,Y,N
C03ae7,conspiracy,coronavirus,NULL,ANN2,Y,B
C03b2a,conspiracy,coronavirus,2020-04-06,ANN2,N,C
C03b4f,conspiracy,coronavirus,NULL,ANN2,Y,C
C03b5a,conspiracy,coronavirus,NULL,ANN2,N,B
C03b85,conspiracy,coronavirus,NULL,ANN2,Y,C
C03b8e,conspiracy,coronavirus,NULL,ANN2,Y,C
C03bea,conspiracy,coronavirus,NULL,ANN2,N,B
C03bf4,conspiracy,coronavirus,2020-03-25,ANN2,N,B
C03c07,conspiracy,coronavirus,2018-09-29,ANN2,Y,N
C03c76,conspiracy,coronavirus,2020-04-28,ANN2,N,C
C03c83,conspiracy,coronavirus,2011-09-22,ANN2,Y,N
C03cd1,conspiracy,coronavirus,NULL,ANN2,Y,C
C03cfa,conspiracy,coronavirus,2020-05-05,ANN2,Y,C
C03d1f,conspiracy,coronavirus,2020-04-04,ANN2,N,C
C03d64,conspiracy,coronavirus,NULL,ANN2,Y,C
C03d70,conspiracy,coronavirus,2020-03-07,ANN2,N,N
C03dbf,conspiracy,coronavirus,NULL,ANN2,Y,C
C03dc0,conspiracy,coronavirus,2020-04-24,ANN2,Y,C
C03df9,conspiracy,coronavirus,NULL,ANN2,N,C
C03e26,conspiracy,coronavirus,2020-03-09,ANN2,N,C
C03e32,conspiracy,coronavirus,NULL,ANN2,N,C
C03e6e,conspiracy,coronavirus,NULL,ANN2,Y,C
C03eae,conspiracy,coronavirus,NULL,ANN2,N,C
C03ebf,conspiracy,coronavirus,2020-04-14,ANN2,N,C
C03f01,conspiracy,coronavirus,NULL,ANN2,Y,C
C03f7c,conspiracy,coronavirus,NULL,ANN2,N,C
C03fa2,conspiracy,coronavirus,2020-04-06,ANN2,N,C
C03fcf,conspiracy,coronavirus,2020-05-03,ANN2,Y,C
C04036,conspiracy,coronavirus,2017-10-22,ANN2,Y,N
C040bf,conspiracy,coronavirus,2020-04-29,ANN2,Y,C
C04117,conspiracy,coronavirus,NULL,ANN2,N,C
C0412d,conspiracy,coronavirus,2020-05-16,ANN2,Y,C
C04171,conspiracy,coronavirus,NULL,ANN2,N,C
C0417b,conspiracy,coronavirus,NULL,ANN2,Y,C
C041cc,conspiracy,coronavirus,2020-02-08,ANN2,Y,C
C041d3,conspiracy,coronavirus,NULL,ANN3,N,C
C04221,conspiracy,coronavirus,2020-04-22,ANN3,N,C
C04235,conspiracy,coronavirus,NULL,ANN3,Y,B
C0427a,conspiracy,coronavirus,NULL,ANN3,N,C
C042a1,conspiracy,coronavirus,2020-02-29,ANN3,N,C
C042c5,conspiracy,coronavirus,2020-05-12,ANN3,N,C
C042e5,conspiracy,coronavirus,NULL,ANN3,N,C
C042ec,conspiracy,coronavirus,2020-04-22,ANN3,N,C
C042fd,conspiracy,coronavirus,2020-05-13,ANN3,N,C
C04335,conspiracy,coronavirus,2020-02-23,ANN3,Y,C
C043ba,conspiracy,coronavirus,2020-02-17,ANN3,Y,C
C0440c,conspiracy,coronavirus,2020-03-23,ANN3,Y?,C
C04443,conspiracy,coronavirus,2020-02-27,ANN3,Y,C
C04472,conspiracy,coronavirus,NULL,ANN3,N,C
C04496,conspiracy,coronavirus,2020-03-15,ANN3,N,C
C044a8,conspiracy,coronavirus,2020-03-14,ANN3,Y,C
C044e4,conspiracy,coronavirus,2020-02-27,ANN3,N,C
C0457c,conspiracy,coronavirus,2020-04-06,ANN3,N,C
C045cd,conspiracy,coronavirus,NULL,ANN3,N,C
C04614,conspiracy,coronavirus,NULL,ANN3,N,N
C04673,conspiracy,coronavirus,2020-05-15,ANN3,Y,C
C046a0,conspiracy,coronavirus,NULL,ANN3,N,B
C046d8,conspiracy,coronavirus,NULL,ANN3,N,C
C046e9,conspiracy,coronavirus,2020-03-23,ANN3,Y,C
C0475e,conspiracy,coronavirus,2020-02-16,ANN3,Y,C
C047e3,conspiracy,coronavirus,NULL,ANN3,N,C
C04814,conspiracy,coronavirus,NULL,ANN3,N,C
C04819,conspiracy,coronavirus,NULL,ANN3,N,C
C04836,conspiracy,coronavirus,2020-04-07,ANN3,Y,C
C0484a,conspiracy,coronavirus,2020-03-30,ANN3,Y,C
C04858,conspiracy,coronavirus,2020-05-20,ANN3,N,C
C04879,conspiracy,coronavirus,2011-06-29,ANN3,N,N
C0489a,conspiracy,coronavirus,NULL,ANN3,N,C
C0489d,conspiracy,coronavirus,NULL,ANN3,N,C
C048db,conspiracy,coronavirus,NULL,ANN3,N,C
C048ea,conspiracy,coronavirus,NULL,ANN3,Y,C
C04967,conspiracy,coronavirus,NULL,ANN3,N,C
C049c9,conspiracy,coronavirus,2020-05-20,ANN3,Y,C
C049d2,conspiracy,coronavirus,2020-05-17,ANN3,N,C
C049db,conspiracy,coronavirus,NULL,ANN3,N,C
C049e7,conspiracy,coronavirus,2020-05-06,ANN3,N,C
C04a15,conspiracy,coronavirus,NULL,ANN3,N,C
C04b06,conspiracy,coronavirus,NULL,ANN3,N,C
C04b36,conspiracy,coronavirus,NULL,ANN3,N,C
C04b8d,conspiracy,coronavirus,NULL,ANN3,Y,C
C04bd3,conspiracy,coronavirus,2020-03-06,ANN3,N,C
C04c17,conspiracy,coronavirus,2020-04-20,ANN3,Y,B
C04c66,conspiracy,coronavirus,2020-05-12,ANN3,N,B
C04cad,conspiracy,coronavirus,NULL,ANN3,N,C
C04cd9,conspiracy,coronavirus,2020-04-14,ANN3,N,C
C04ce3,conspiracy,coronavirus,2020-04-03,ANN3,N,B
C04cea,conspiracy,coronavirus,2020-04-14,ANN3,Y,C
C04cec,conspiracy,coronavirus,2015-11-05,ANN3,Y,N
C04d55,conspiracy,coronavirus,2020-05-13,ANN3,N,C
C04dbd,conspiracy,coronavirus,2020-04-26,ANN3,N,C
C04de1,conspiracy,coronavirus,NULL,ANN3,N,C
C04e7b,conspiracy,coronavirus,2020-02-27,ANN3,N,C
C04e85,conspiracy,coronavirus,2020-05-02,ANN3,N,C
C04e8a,conspiracy,coronavirus,NULL,ANN3,N,C
C04e95,conspiracy,coronavirus,2020-04-02,ANN3,N,C
C04edd,conspiracy,coronavirus,NULL,ANN3,N,C
C04ee4,conspiracy,coronavirus,NULL,ANN3,Y,C
C04f5f,conspiracy,coronavirus,2020-04-01,ANN3,N,C
C04f63,conspiracy,coronavirus,NULL,ANN3,N,C
C04fa0,conspiracy,coronavirus,NULL,ANN3,Y,C
C04fc7,conspiracy,coronavirus,2019-07-28,ANN3,Y,N
C04fec,conspiracy,coronavirus,2020-04-02,ANN3,Y,C
C05000,conspiracy,coronavirus,NULL,ANN3,Y,C
C05068,conspiracy,coronavirus,2020-03-23,ANN3,Y,C
C05088,conspiracy,coronavirus,2020-02-14,ANN3,Y,C
C0513d,conspiracy,coronavirus,NULL,ANN3,N,N
C05165,conspiracy,coronavirus,2020-05-17,ANN3,N,C
C0519e,conspiracy,coronavirus,2020-05-17,ANN3,Y,C
C051c0,conspiracy,coronavirus,2020-03-29,ANN3,N,C
C051e2,conspiracy,coronavirus,NULL,ANN3,N,C
C05239,conspiracy,coronavirus,2020-05-12,ANN3,N,C
C0523b,conspiracy,coronavirus,NULL,ANN3,Y,B
C05268,conspiracy,coronavirus,2020-02-17,ANN3,Y,C
C052f2,conspiracy,coronavirus,2020-05-15,ANN3,N,C
C05300,conspiracy,coronavirus,2020-05-02,ANN3,N,C
C0535c,conspiracy,coronavirus,2020-05-07,ANN4,Y,C
C0535d,conspiracy,coronavirus,NULL,ANN4,N,C
C05386,conspiracy,coronavirus,2020-05-13,ANN4,N,C
C053d8,conspiracy,coronavirus,2020-05-18,ANN4,N,C
C053fd,conspiracy,coronavirus,2020-05-04,ANN4,Y?,C
C05422,conspiracy,coronavirus,NULL,ANN4,N,C
C05430,conspiracy,coronavirus,NULL,ANN4,N,C
C0545d,conspiracy,coronavirus,2020-03-25,ANN4,Y,C
C0548e,conspiracy,coronavirus,2020-03-23,ANN4,N,C
C05499,conspiracy,coronavirus,2017-07-27,ANN4,N,N
C0550f,conspiracy,coronavirus,2020-03-28,ANN4,Y,C
C05538,conspiracy,coronavirus,NULL,ANN4,Y,C
C05557,conspiracy,coronavirus,2020-04-25,ANN4,Y,C
C055fa,conspiracy,coronavirus,2020-05-20,ANN4,N,C
C05665,conspiracy,coronavirus,NULL,ANN4,N,B
C056e4,conspiracy,coronavirus,2020-05-07,ANN4,Y,C
C05731,conspiracy,coronavirus,2020-03-30,ANN4,N,C
C05757,conspiracy,coronavirus,NULL,ANN4,N,N
C0576b,conspiracy,coronavirus,2020-03-01,ANN4,Y,B
C057e9,conspiracy,coronavirus,NULL,ANN4,N,C
C05812,conspiracy,coronavirus,2020-03-22,ANN4,N,C
C0582b,conspiracy,coronavirus,NULL,ANN4,Y,C
C05881,conspiracy,coronavirus,2015-03-22,ANN4,Y,N
